rec_id,depname,includes,altname,country,cntrycd,stprov,latitude,longitude,agemy,depage,oreton,cugrd,mogrd,augrd,aggrd,deptype,empldepth,dep5km10km,dep5km,dep_id,latdeg,latmin,latsec,londeg,lonmin,lonsec,rockdep,rockmap,rockmapdep,discdate,startdate,ore_a,ore_b,ore_area,alter_a,alter_b,alter_area,sulf_a,sulf_b,sulf_area,comments
136,Red  Dog,,,Canada,CNBC,British Columbia,50.71083333,-127.9705556,,,45,0.32,0.007,0.4,0,20c,0,20c,,135,50,42,39,-127,-58,-14,"breccia, quartz feldspar porphyry","andesite, basalt, tuff, tuff breccia, tuffaceous sandstone","diorite, diorite porphyry, granodiorite, quartz diorite",,,0,0,0,0,0,0,0,0,0,
137,Schaft  Creek,,Liard,Canada,CNBC,British Columbia,57.36416667,-130.9902778,220,220,1434,0.25,0.019,0.18,1.55,17,0.6,,,106,57,21,51,-130,-59,-25,"breccia, diorite, feldspar porphyry, quartz feldspar porphyry",,"andesite, andesite porphyry, basalt, granodiorite, monzonite, tuff, tuffaceous conglomerate, volcaniclastic sedimentary rocks",1957,,2.5,1.1,2.2,3.1,1.3,3.1,0,0,0,1.393 Bt measured and indicated resources + 41 Mt inferred resources.
138,Sulphurets,,,Canada,CNBC,British Columbia,56.50444444,-130.2627778,193.5,195?192,382,0.406,0,0.76,2.2,20c,0,25e,"20c, 25a, 39a",112,56,30,16,-130,-15,-46,"breccia, diorite, feldspar porphyry, felsite, monzodiorite, monzonite porphyry, quartz syenite, syenite porphyry",,"andesite, andesite tuff, conglomerate, graywacke, mudstone, siltstone, tuff",1935,,1.8,0.9,1.3,6,3,14,4,1.8,5.6,
139,Taseko,,,Canada,CNBC,British Columbia,51.10444444,-123.4,85,85,15,0.53,0.012,0.53,0,20c,0,,25e,141,51,6,16,-123,-24,,"andesitic dacite porphyry, dacite porphyry, quartz porphyry","agglomerate, argillite, basalt, conglomerate, sandstone","andesite porphyry, dacite, granodiorite, quartz monzonite, rhyolite, tuff",1922,,0,0,0,5,1.5,5.9,0,0,0,
140,Trojan,,"Getty, South Seas",Canada,CNBC,British Columbia,50.56666667,-121,,,,0,0,0,0,17,0,21a,17,148,50,34,,-121,0,,"breccia, quartz diorite porphyry",,"andesite, dacite, conglomerate, quartz diorite, sandstone, siltstone",,,0,0,0,0,0,0,0,0,0,Resource: 1.54 Mt at 0.35% Cu
141,Valley,,"Valley Copper, Highland Valley",Canada,CNBC,British Columbia,50.48555556,-121.0483333,196,202?190,833.5,0.432,0.0067,0.006,1.9,21a,4.8,,17 (2),149,50,29,8,-121,-2,-54,"aplite, felsite porphyry, granodiorite porphyry, lamprophyre, quartz diorite porphyry",,"andesite, conglomerate, granodiorite, sandstone, siltstone",1957,1983,1.8,1.2,1.7,0,0,0,6.5,4,20.4,
142,Whipsaw,,,Canada,CNBC,British Columbia,49.29333333,-120.7594444,0,,,0,0,0,0,17,0,,39a,160,49,17,36,-120,-45,-34,"breccia, feldspar porphyry, quartz porphyry",,"amphibolite, granodiorite, greenschist, limestone",1959,,0,0,0,0,0,0,0,0,0,"Reported 0.2 to 0.36% Cu, 0.006 to 0.024% Mo."
143,Whiting  Creek/Rusty  Zone,,,Canada,CNBC,British Columbia,53.75833333,-127.215,82.5,84?81,,0,0,0,0,21a,0,21a,"17, 21b,22c",131,53,45,30,-127,-12,-54,"andesite porphyry, breccia, feldspar porphyry, lamprophyre, monzonite porphyry, quartz monzonite porphyry, quartz porphyry",basalt,"andesite, argillite, conglomerate, granodiorite, rhyolite, sandstone, shale, tuff",1963,,0,0,0,0,0,0,5.2,2.5,10,The major Ridge zone contains: 31.6 Mt at 0.06% Cu and 0.112% Mo. Locally ?0.244% Cu and less than 0.03% Mo.
144,Willa,,,Canada,CNBC,British Columbia,49.88333333,-117.3666667,183,183,,0,0,0,0,17,0,,,163,49,53,,-117,-22,,"breccia, feldspar porphyry, quartz latite porphyry",,"andesite porphyry, conglomerate, granodiorite, pyroclastics, quartz monzonite",1898,,0.5,0.15,0.06,0,0,0,0,0,0,"Resource: 0.47 Mt at 0.86% Cu, 5.9 g/t Au, up to 0.008% Mo, 10 g/t Ag"
145,Coxheath,,,Canada,CNNS,Nova Scotia,46.08333333,-60.36666667,621,622?620,,0,0,0,0,17,0,,,174,46,5,,-60,-22,,"diorite, granite, granodiorite, monzonite porphyry",,"andesite, basalt, dacite, rhyolite, pyroclastics",1875,,0,0,0,11,4,34,7.5,3.7,22,"Reported ?2% Cu, 1% Mo, 8.6 g/t Au."
146,Beidelman  Bay,,Darkwater Mine,Canada,CNON,Ontario,49.83333333,-91,2500,Archean,,0,0,0,0,17,0,,Aushear veins,166,49,50,,-91,0,,"breccia, feldspar porphyry",,"felsic pyroclastics, metavolcanic rocks, quartz diorite, trondhjemite",1934,,0,0,0,0,0,0,2.9,0.6,1.4,"Reported 0.2% Cu, 0.03% Mo, ?410 ppb Au in altered trondhjemite; 50 Kt at 6,8 g/t Au in shear veins"
147,Jogran,,,Canada,CNON,Ontario,47.04305556,-84.61527778,1070,1070,20,0.19,0.05,0,0,21a,0,"21a, Au-Cu veins",,167,47,2,35,-84,-36,-55,quartz monzonite porphyry,,"basalt, diabase, granite, metasedimentary rocks, mafic metavolcanic rocks",,,0,0,0,0,0,0,0,0,0,
148,McIntyre,,Pamour,Canada,CNON,Ontario,48.5,-81.25,2575,2475,,0,0,0,0,17,0,,Au quartz-carbonate veins (36a?),169,48,30,,-81,-15,,"breccia, rhyodacite porphyry (felsic schist)",,mafic metavolcanic rocks (metabasalt),1960,1963,0.5,0.13,0.05,2.5,0.5,0.98,0,0,0,"The McIntire?Hollinger Complex produced: 1089 t Au, 218 t Ag, and 90,718 t Cu .  The productive underground Cu-interval extended from 1250 foot level down to 4175 foot level with 10 Mt reserve at 0.8% Cu, 0.9 g/t Au, and about 0.05% Mo."
149,Stancop,Log Lake,,Canada,CNON,Ontario,47.96666667,-80.75,2633,2633,,0,0,0,0,17,0,,"porphyry Au, 36a, late Barite-Ccp vein",170,47,58,,-80,-45,,"diabase  dike, syenite, syenite porphyry","diorite, gneiss, granite","metaconglomerate, metasedimentary rocks, metavolcanic rocks",,,0,0,0,0,0,0,0,0,0,"?0.6% Cu, overall grade 0.05 to 0.1% Cu, 0.17 to 0.34 g/t Au, ?3.0 g/t Ag."
150,Tribag,,,Canada,CNON,Ontario,47.09194444,-84.47833333,1055,1055,165,0.15,0.03,0,0,17,0,17,,168,47,5,31,-84,-28,-42,"breccia, felsite, felsite porphyry",,"basalt, diabase, granite, metasedimentary rocks, mafic metavolcanic rocks",,,0,0,0,3.5,1.2,3.3,0,0,0,?0.05% Mo; production of 900 Kt at 1.64% Cu
151,Chibougamau,"Clark Lake, Grandroy, Quellus, R-2",Chibougamau district,Canada,CNQU,Quebec,49.86666667,-74.23333333,2715,2716?2714,,0,0,0,0,17,0,Cu-Au high-sulfide shear veins,,172,49,52,,-74,-14,,tonalite porphyry,,"anorthosite, felsic metavolcanic rocks, gabbro, mafic metavolcanic rocks, diorite, metasedimentary rocks, quartz diorite, tonalite",,,0,0,0,0,0,0,0,0,0,"Since 1954, 47 Mt produced at 1,82% Cu, and 2.2 g/t Au from 15 Cu-Au veins."
152,Don  Rouyn,,,Canada,CNQU,Quebec,48.26666667,-79,2700,2700,36,0.15,0,0,0,17,0,,28a,171,48,16,,-79,0,,"breccia, feldspar porphyry, mafic dike, rhyolite porphyry, rhyodacite porphyry",,"granodiorite, felsic metavolcanic rocks, mafic metavolcanic rocks, tonalite, trondhjemite",1925,1957,0.5,0.2,0.08,0,0,0,0,0,0,"Mined as a source of cupriferous siliceous flux containing ?0.25% Cu; one zone contains 1 g/t Au, 4 ppm W, 360 ppm Mo."
153,Gasp¨¦,,"Mines Gasp¨¦, Copper Mountain",Canada,CNQU,Quebec,48.96666667,-65.51944444,348,350?346,336,0.555,0.022,0.062,2.8,21a,0,,18b,173,48,58,,-65,-31,-10,"diabase dike, quartz feldspar porphyry, quartz monzonite, skarn",granite,"limestone, calcareous shale, sandstone, siltstone",1938,1968,0.6,0.3,0.14,9,5,7.5,2.5,1.1,2.2,There is an additional 20 Mt of skarn-type ore.
154,Cash,,,Canada,CNYT,Yukon Territory,62.41666667,-137.6166667,,,36,0.28,0.021,0.17,0,17,0,,,102,62,25,,-137,-37,,"feldspar porphyry, felsic volcanics, quartz feldspar porphyry, volcanic breccia",gneiss,"granodiorite, metasedimentary rocks, quartz monzonite",,,0,0,0,0,0,0,0,0,0,
155,Casino,,,Canada,CNYT,Yukon Territory,62.73611111,-138.8291667,73,74-72,964,0.22,0.02,0.24,1.8,17,0,,"22c, 39a",101,62,44,10,-138,-49,-45,"breccia, dacite porphyry, latite, quartz monzonite, tuff breccia","amphibolite, gneiss, quartzite, ultramafic sill","dacite, granodiorite, quartz diorite, rhyodacite",1917,,1.8,0.76,1.1,0,0,0,2.4,1.4,2.7,
156,Williams  Creek,,,Canada,CNYT,Yukon Territory,62.34166667,-136.6916667,0,,,0,0,0,0,20c,0,,,103,62,20,30,-136,-41,-30,,,"gneiss, metasedimentary rocks",1963,,0,0,0,0,0,0,0,0,0,"Incomplete drilling shows 20 Mt at 1.06% Cu, 1.1 g/t Au."
157,Andacollo,,,Chile,CILE,,-30.25,-71.41666667,112,112¡À10,540,0.45,0.05,0.25,0,17,0,,"25c, 25a (manto), 39a",307,-30,-15,,-71,-25,,tonalite porphyry,"conglomerate, ignimbrite, limestone","andesite, andesite breccia, dacite, dacite breccia, diorite,",1568,1980,1.5,1.3,1.5,5,3.8,15,5,2.5,9.8,Re-Os age 103?89 Ma.
158,Angelina,Rio Blanco,,Chile,CILE,,-24.39833333,-69.6075,,,,0,0,0,0,17,0,,,298,-24,-23,-54,-69,-36,-27,sericitic porphyry,,,,,0,0,0,0,0,0,0,0,0,Hematitic leached capping. 31 Ma of supergene alunite.
159,Antucoya,Buey Muerto,,Chile,CILE,,-22.53333333,-69.91666667,142,141.9¡À1.4;,519,0.41,0,0,0,17,0,,,665,-22,-32,,-69,-55,,"breccia, dacite dike, granodiorite porphyry, monzodiorite,  tonalite porphyry,",,"andesite, tuffaceous sandstone, tuffaceous siltstone",,,0,0,0,1.6,1,1.3,0,0,0,Oxide ore resources. Mostly covered by gravel. Buey Muerto prospect 137¡À4 to 132¡À4 Ma (biotite and sericite).
160,Centinela,,,Chile,CILE,,-23.16333333,-69.16833333,44,44.3¡À1.5,,0,0,0,0,17,0,,,292,-23,-9,-48,-69,-10,-6,"dacite porphyry, diorite",,"tonalite, volcanic rocks",,,0,0,0,0,0,0,0,0,0,Preliminary resources: 4.5 Mt at 0.64% Cu.
161,Cerro  Casale,,Aldebaran,Chile,CILE,,-27.78333333,-69.23333333,14,13.89¡À0.04,1285,0.35,0.02,0.7,0,20c,0,,"22c, 25e",304,-27,-47,,-69,-14,,"breccia, dacite porphyry, diorite porphyry",,"andesite, andesite tuff, conglomerate, sandstone",1980,,0,0,0,0,0,0,0,0,0,Exposed. Maricunga belt. There is a transition from Cu-Au porphyry (20c) to Au-bearing quartz- polymetallic veins (22c) and further to high-sulfidation Au epithermal veins (25e) within 3.5 km (NW) and 1 km high.
162,Cerro  Colorado,,,Chile,CILE,,-20.04472222,-69.25972222,52,51.8¡À0.6,607,0.81,0.005,0,0,17,0,"17, 22c",cu-au vein,278,-20,-2,-41,-69,-15,-35,"andesite porphyry, breccia, dacite porphyry, quartz monzonite porphyry",,"andesite, felsic volcanic rocks, ignimbrite",1963,1994,0,0,0,0,0,0,4,2,6.3,"Cu enrichment age (K/Ar, alunite), 30 to 36 Ma. >50% of the deposit area is covered by gravel and ignimbrite."
163,Chimborazo,,,Chile,CILE,,-24.13333333,-69.08333333,37,38.72¡À0.17 to 34.9¡À0.41,236,0.6,0,0,0,17,0,17,"22c, 25e",296,-24,-8,,-69,-5,,"breccia, diorite porphyry, monzonite porphyry, tonalite porphyry",,"andesite, dacite, diorite, granodiorite, tuff",1950,,0,0,0,1.4,1,1.1,0,0,0,30% of the deposit area is covered by gravel.
164,Chuquicamata,"Chuqui Norte, Exotica, Radomiro Tomic (Pampa Norte)",,Chile,CILE,,-22.275,-68.9,33,35?31,21277,0.592,0.04,0.013,5,21a,0,22c,"17, Exotic Cu",286,-22,-16,-30,-68,-54,,"granodiorite porphyry, monzogranite porphyry","amphibolite, andesite, andesite breccia, andesite tuff, conglomerate,  limestone","diorite, granodiorite, monzogranite, sandstone, shale",1911,1915,12,3,28,0,0,0,0,0,0,Cu enrichment age 19?15 Ma; exotic mineralization later than 9.7 Ma (ash tuff layer in ore-bearing gravel). In concentrate: 36 ppb Pd; n.d. Pt. Exposed.
165,Collahuasi,,Rosario,Chile,CILE,,-20.96305556,-68.70833333,32,33?31,3100,0.86,0.04,0.01,5,21a,0,"17, 25c","17, 25e (cu-au and cu-ag veins), exotic cu, 39a",281,-20,-57,-47,-68,-42,-30,"dacite porphyry, granodiorite porphyry, quartz porphyry",,"andesite, andesitic tuffite, carbonate rock, rhyolite, shale, tuff",1978,1999,1.9,1.2,1.8,7,4.7,26,0,0,0,Exposed.
166,Conchi,,,Chile,CILE,,-21.95388889,-68.73555556,36,38?34,351,0.71,0,0,0,17,0,17,,667,-21,-57,-14,-68,-44,-8,granodiorite porphyry,"andesite, ignimbrite, rhyolite, sedimentary rocks","diorite, granodiorite, quartz diorite, quartz monzonite porphyry",,,0,0,0,1.2,0.8,0.75,0,0,0,"Resources of oxide ore 25 Mt at 0.52% Cu based on 0.3% Cu cut-off, resources of sulfide ore 326 Mt at 0.72% Cu based on 0.5% Cu cut-off. Exposed."
167,Copaquire,,,Chile,CILE,,-20.90166667,-68.88527778,35,36?34,,0,0,0,0,21a,0,17,,280,-20,-54,-6,-68,-53,-7,"breccia, dacite, quartz monzonite porphyry",,"carbonaceous shale, diorite porphyry, granodiorite, quartz diorite porphyry, sandstone",,,0,0,0,0,0,0,3.4,1.5,4,"Resources reported 50 Mt at 0.13% Mo, x% Cu; production of 115,000 t at 3.0% Cu; reserves 250,000 t at 1% Cu."
168,Dos  Hermanos,,,Chile,CILE,,-18.29,-69.72166667,,Miocene?,,0,0,0,0,17,0,cu-au vein,,274,-18,-17,-24,-69,-43,-18,granodiorite,,"andesite, basalt, volcanic-sedimentary rocks",,,0,0,0,0,0,0,0,0,0,"Resources: 500,000 t at 0.98% Cu and 120 ppm Mo."
169,El  Abra,Ichuno,,Chile,CILE,,-21.92055556,-68.8325,36,38?34,1779.4,0.494,0.0058,0,0,17,0,17,"exotic Cu, cu-au vein",284,-21,-55,-14,-68,-49,-57,"aplite, breccia,  dacite porphyry, granodiorite porphyry, quartz monzonite porphyry, rhyodacite porphyry","andesite, ignimbrite, rhyolite, sedimentary rocks","diorite, granodiorite, quartz diorite, quartz monzonite",pre-colonial,1996,1.7,1.2,1.6,0,0,0,4.4,2.3,8,Exposed.
170,El  Loa,,,Chile,CILE,,-21.11666667,-68.73333333,251.5,264?239,,0,0,0,0,17,0,,,628,-21,-7,,-68,-44,,,,"granodiorite, volcanic rocks",,,0,0,0,0,0,0,0,0,0,
171,El  Salvador,,,Chile,CILE,,-26.25416667,-69.55055556,42,43?41,3836.3,0.447,0.022,0.1,1.5,17,0,,exotic Cu,299,-26,-15,-15,-69,-33,-2,"aplite, breccia, dacite porphyry, granodiorite porphyry, latite dikes, rhyolite porphyry","carbonate rocks, granite, monzonite","andesite, andesite breccia, andesite pyroclastics, conglomerate, dacite, diorite, ignimbrite, rhyolite, rhyolite breccia,  rhyolite pyroclastics, sandstone, tuffaceous sandstone",1944,1959,1.8,1,1.4,8,5,31,3,3,7.1,Cu enrichment age 23 Ma; exotic mineralization 24 to 11 Ma.  In concentrate: 8 ppb Pt; 16 ppb Pd. 5% of the deposit area is covered by alluvium.
172,El  Tel¨¦grafo,,Tel¨¦grafo,Chile,CILE,,-22.98777778,-69.07638889,29,29,898,0.45,0.013,0.17,0,17,0,17,"18b, exotic cu",668,-22,-59,-16,-69,-4,-35,quartz porphyry,,"andesite, dacite, granodiorite",,,0,0,0,0,0,0,0,0,0,Cu enrichment age 20 Ma.
173,El  Teniente,,Braden,Chile,CILE,,-34.08861111,-70.4625,5.4,6.3¡À0.03 ? 4.42¡À0.02|(Re-Os),20731,0.62,0.019,0.005,0.52,21a,0,,22c,311,-34,-5,-19,-70,-27,-45,"andesitic basalt porphyry, basalt porphyry, breccia, dacite porphyry, diabase, gabbro, lamprophyre, latite porphyry, tonalite porphyry","granodiorite, rhyolite, trachyandesite","andesite, andesite agglomerate, andesite breccia, andesite pyroclastics, sedimentary rocks",1706,1906,2.7,2,4.2,0,0,0,4,3.5,11,In concentrate: 8 ppb Pt and 32 ppb Pd. 20%  of the deposit area is covered by talus and glacial debris.
174,Escondida,"Escondida Norte, Zaldivar",La Escondida,Chile,CILE,,-24.265,-69.07166667,37,38.72¡À0.17 to |34.9¡À0.41,11158,0.769,0.0062,0.25,5,20c,0,"39a, exotic copper",cu-au and cu-ag veins,297,-24,-15,-54,-69,-4,-18,"breccia, granodiorite porphyry, quartz monzonite porphyry, rhyolite porphyry, skarn",,"andesite, conglomerate, diorite, granodiorite, limestone, sandstone",1981,1990,4.5,1.6,5.7,11,9,78,0,0,0,"Cu enrichment age 18?15 Ma.  In concentrate: 8 ppb Pt, 44 ppb Pd. 10% of the deposit area is covered by gravel."
175,Esperanza,,,Chile,CILE,,-22.96666667,-69.05833333,41,"41.3¡À0.3; 41,8¡À0.13",1435,0.51,0.011,0.16,0,17,0,17,"18b, exotic cu",291,-22,-58,,-69,-3,-30,granodiorite porphyry,,"andesite, andesite breccia, limestone, granodiorite, tuff, tuffite",1983,,0,0,0,0,0,0,0,0,0,Cu enrichment age 20 Ma. Exposed.
176,Gaby,,"Gaby Sur, Gabriela Mistral",Chile,CILE,,-23.41083333,-68.81888889,42,43?41,3421,0.35,0,0,0,17,0,,,293,-23,-24,-39,-68,-49,-8,"breccia, quartz diorite, tonalite porphyry",,"andesite, granodiorite, siltstone",1996,,0,0,0,0,0,0,0,0,0,100% of the deposit is covered by piedmont gravel averaging 40 m thick. Oxide ore reserves 618 Mt at 0.41% Cu.
177,Inca  de  Oro,,Cerro La Campana,Chile,CILE,,-26.76611111,-69.87138889,63,66?60,,0,0,0,0,20c,0,,,302,-26,-45,-58,-69,-52,-17,"breccia, granodiorite","carbonate rock, diorite",andesite,,,0,0,0,0,0,0,0,0,0,"In samples from oxidized zone, 10 to 15 g/t Au; Cu enrichment age (K?Ar, alunite) 14 Ma."
178,La  Fortuna,,El Morro,Chile,CILE,,-28.63333333,-69.88333333,33.5,35?32,1245,0.41,0,0.35,0,20c,0,,"25a, 25e",306,-28,-38,,-69,-53,,"breccia, dacite porphyry, quartz diorite porphyry, rhyolite porphyry","basalt, dacite, diorite, rhyolite, tuff","andesite, conglomerate, dacitic ignimbrite, sandstone",,,0,0,0,0,0,0,0,0,0,"Total resource at 0.2% Cu cut-off; ?0.02 to 0.03% Mo, 1.0 to 12 g/t Ag. 70% of the deposit area covered by alluvium and gravel."
179,La  Planada,,,Chile,CILE,,-20.175,-69.08333333,31,31,,0,0,0,0,17,0,22c,"22c, cu-au vein",279,-20,-10,-30,-69,-5,,quartz porphyry,,granodiorite,,,0,0,0,0,0,0,0,0,0,Resource 30 Mt at 0.3% Cu .
180,Lilian,,,Chile,CILE,,-22.66666667,-68.75,275,290?260,,0,0,0,0,17,0,,,629,-22,-40,,-68,-45,,,,,,,0,0,0,0,0,0,0,0,0,
181,Lomas  Bayas,Fortuna de Cobre,,Chile,CILE,,-23.445,-69.51166667,57.5,57.9?57.1¡À1.8,1230,0.279,0,0,0,17,0,,,295,-23,-26,-42,-69,-30,-42,"breccia, feldspar porphyry, granodiorite porphyry, tonalite porphyry","limestone, sandstone, shale",granodiorite,1880,1880s; 1998,1.6,1.3,1.63,0,0,0,0,0,0,Cu enrichment age 21 Ma. 40% of the deposit area covered by alluvium and colluvium.
182,Los  Bronces/Rio  Blanco,"La Americana, Sur-Sur",Andina,Chile,CILE,,-33.13333333,-70.26666667,4.7,5.32¡À0.277 to 4.37¡À0.06,16816,0.601,0.02,0,0,17,0,,,310,-33,-8,,-70,-16,,"breccia,  quartz monzonite porphyry, rhyolite porphyry",,"andesite, granite, granodiorite, quartz diorite, quartz monzodiorite, quartz monzonite, rhyodacitic pyroclastics, syenite",1864,1970,5,2.8,11,0,0,0,11,5,43,Au <30 ppb. 15% of the deposit area is covered.
183,"Los  Pelambres  -  El  Pachon,  AGTN",,"continuous w/ El Pachon, AGTN",Chile,CILE,,-31.70833333,-70.5,9.5,10?9,7458,0.617,0.015,0.028,1.26,21a,0,,,308,-31,-42,-30,-70,-30,,"breccia, dacite porphyry, diorite, quartz monzodiorite porphyry, tonalite, tonalite porphyry","conglomerate, granodiorite, gypsum, sandstone, siltstone","andesite, andesite porphyry, andesitic agglomerate, granite, tuff, volcaniclastics",1914,1992,1.6,0.5,0.6,6.5,4.6,24,6.5,2.5,13,Exposed.
184,Man¨ª,,,Chile,CILE,,-22.56416667,-69.24222222,64,~64,,0,0,0,0,17,0,,,288,-22,-33,-51,-69,-14,-32,breccia,,"granodiorite, sandstone",,,0,0,0,0,0,0,0,0,0,Cu enrichment age 21 Ma.
185,Mansa  Mina,"MM Central, MM North",MM,Chile,CILE,,-22.38055556,-68.9125,33.5,35?32,1000,1.3,0,0,0,17,0,17,"17, 21a, 22c, exotic cu",287,-22,-22,-50,-68,-54,-45,"aplite, dacite porphyry","amphibolite, metadiorite","andesite, andesitic breccia, granite, granodiorite, sandstone",1967,,,,,,,,5.5,0.7,3,Grades of 0.1 g/t Au and 120 g/t Ag in some ore containing 2% Cu; supergene alunite K?Ar age 20?21 Ma. 100% of the deposit area is covered by piedmont gravel 50 m thick.
186,Mocha,,,Chile,CILE,,-19.80972222,-69.28055556,58,58,,0,0,0,0,17,0,17,"cu-au vein, 25a",276,-19,-48,-35,-69,-16,-50,"dacite porphyry, quartz diorite porphyry","andesite, dacite, granodiorite","sandstone, siltstone",,,0,0,0,0,0,0,4,3,9.4,Resources: 97 Mt at 1% Cu and 0.03% Mo.
187,Opache,,,Chile,CILE,,-22.46666667,-68.96666667,35.5,37?34,341,0.53,0,0,0,17,0,17,17,627,-22,-28,,-68,-58,,tonalite porphyry,,"andesite, tonalite",1997,,0,0,0,0,0,0,0,0,0,Probably part of the Chuquicamata porphyry copper system.
188,Polo  Sur,,,Chile,CILE,,-23.3,-69.23333333,,,,0,0,0,0,17,0,17,,623,-23,-18,,-69,-14,,,,"sandstone, volcanic rocks",,,0,0,0,0,0,0,0,0,0,Preliminary resources: 63 Mt at 0.46% Cu of oxide ore (0.25% cut-off grade) and 137 Mt of sulfide ore at 0.56% Cu (0.4% cut-off grade).
189,Potrerillos,San Antonio,Andes,Chile,CILE,,-26.4875,-69.42388889,36.5,39?34,1030,0.976,0.011,0.77,0,20c,0,,"25e, 18b, Au carbonate-replacement",300,-26,-29,-15,-69,-25,-26,"breccia, andesite porphyry, dacite porphyry, feldspar porphyry, skarn",,"granite, granodiorite, limestone, siltstone",1916,1926,1.5,0.76,0.91,0,0,0,6,4,19,Exposed.
190,Puntillas,,Galenosa,Chile,CILE,,-21.91666667,-69.83333333,132,132?118,,0,0,0,0,17,0,,,284,-21,-55,,-69,-50,,,,,,,0,0,0,0,0,0,0,0,0,
191,Quebrada  Blanca,,,Chile,CILE,,-21,-68.8,36,38?34,1090,0.72,0,0,0,17,1.5,21a,exotic cu,283,-21,0,,-68,-48,,"breccia, dacite porphyry, feldspar porphyry, quartz monzonite, quartz porphyry",,"andesite, conglomerate, diorite, quartz diorite, rhyolite",1905,1994,0,0,0,0,0,0,6,4,19,60% of the deposit area is covered by Miocene piedmont gravel.
192,Queen  Elizabeth,,,Chile,CILE,,-19.86666667,-68.96666667,36,36,,0,0,0,0,17,0,,,277,-19,-52,,-68,-58,,rhyodacite porphyry,,granodiorite,,,0,0,0,0,0,0,0,0,0,Resources: 1 Mt at 0.5% Cu
193,Regalito,,,Chile,CILE,,-28.21666667,-69.6,,,1005,0.366,0,0,0,17,0,,,666,-28,-13,,-69,-36,,,,,1980s; 2004,,0,0,0,0,0,0,0,0,0,"0.15% Cu cut-off grade, oxide ore."
194,Relincho,,,Chile,CILE,,-28.5,-70.3,64,64¡À2,581,0.43,0.018,0,0,17,0,,,624,-28,-30,,-70,-18,,"breccia, dacite porphyry, rhyodacite porphyry, rhyolite porphyry",,"andesite, granodiorite, rhyolite",1970,,0,0,0,8,6,37.7,0,0,0,Exposed. 0.2% Cu cut-off grade.
195,Rio  Frio,,,Chile,CILE,,-25.21666667,-69.23333333,291.5,298?285,,0,0,0,0,17,0,,,630,-25,-13,,-69,-14,,,,,,,0,0,0,0,0,0,0,0,0,
196,Sierra  Gorda,,"Catalina, Santa Catalina",Chile,CILE,,-22.88055556,-69.33888889,63.5,64?63,110,0.6,0.1,0,0,21a,0,17,,290,-22,-52,-50,-69,-20,-20,"granodiorite, granodiorite porphyry",,andesite,,,0,0,0,0,0,0,0,0,0,
197,Spence,,,Chile,CILE,,-22.83944444,-69.30277778,57.3,57¡À0.69 ? |56.61¡À0.63,497,0.92,0,0.18,0,17,0,17,,289,-22,-50,-22,-69,-18,-10,"breccia, granodiorite porphyry, monzogranite porphyry, quartz monzonite porphyry",,"andesite, granodiorite, sandstone, siltstone",1995,2004,0,0,0,0,0,0,3.2,0.8,2,100% of the deposit area covered by 50 to 100 m of piedmont Miocene gravels. Cu enrichment age 14 Ma.
198,Ticn¨¢mar,,,Chile,CILE,,-18.59333333,-69.45,0,,500,0.2,0,0,0,17,0,22c,"22c, 27d",275,-18,-35,-36,-69,-27,,quartz porphyry,,"andesite, tonalite, volcanic-sedimentary rocks",,,0,0,0,0,0,0,0,0,0,
199,Toki,"Genoveva, Quetana",,Chile,CILE,,-22.41666667,-68.95,38,37.9¡À0.3,2550,0.47,0,0,0,17,0,,17 (2),626,-22,-25,,-68,-57,,"monzodiorite, monzogranite",,"diorite, granodiorite, andesite, dacitic tuff",1999,,0,0,0,0,0,0,0,0,0,Covered by Neogene alluvium.
200,Turbio,,,Chile,CILE,,-46.03333333,-72.15,,,,0,0,0,0,17,0,,,312,-46,-2,,-72,-9,,"breccia, granodiorite porphyry, quartz diorite porphyry, rhyodacite porphyry",,"andesite, dacite, dacitic breccia, ignimbrite,  rhyolitic pyroclastics, tuff",,,0,0,0,3.5,3.5,9.6,0,0,0,
201,Ujina,,,Chile,CILE,,-20.99277778,-68.63722222,35,35.2¡À0.3?34.7¡À0.3,1298,0.71,0,0,0,17,0,"39a, Cu-Au and Cu-Ag veins, exotic Cu",17 (2),282,-20,-59,-34,-68,-38,-14,"dacite porphyry, granodiorite porphyry",,"andesite, andesite porphyry, ignimbrite, rhyolite, tuff",1978,1998,0,0,1,3.5,3.2,8.8,0,0,0,Cu enrichment age: 15 Ma. 100% of the deposit area is covered by gravel and ignimbrite as much as 100 m thick.
202,Vizcachitas,,,Chile,CILE,,-32.88333333,-70.23333333,11.2,12¡À0.3 ? 10.4,1163,0.38,0.012,0,0,17,0,,,625,-32,-53,,-70,-14,,"breccia, dacite porphyry, diorite",,"andesite, granodiorite, tuff",1996,,0,0,0,3,1.5,3.5,0,0,0,0.25% cut-off grade; 9 ppb Au.
203,Anjishan,,,China,CINA,Jiangsu,32.06666667,119.1,114.5,123?106,,0,0,0,0,17,0,19a,18b,472,32,4,,119,6,,"adakitic granodiorite porphyry, skarn",,"chert, dolostone, limestone, quartz diorite porphyry, sandstone, shale",,,0,0,0,0,0,0,0,0,0,"Yangtze River metallogenic belt. Intermediate resources grading 0.76% Cu, 10.5 g/t Ag, 0.05 g/t Au."
